 -22.210 40.368 42.041  5.243 -0.774  8.527  1.844 14.150   0.14
 1 518 7 0 3 2 5 3 1100.7084 1101.8923
 14.448  0.597  6.074  6.781-18.361 -2.414  4.619  3.001  6.660
 -22.210 40.368 42.041  5.243 -0.774  8.527  1.844 14.150   0.14
 1 518 7 0 3 2 5 3 1100.7084 1101.8923
 14.375  0.150  6.121  6.299-18.797 -2.936  3.501  0.679  6.660
 -22.210 40.368 42.041  5.243 -0.774  8.527  1.844 14.150   0.14
 1 518 7 0 3 2 5 3 1100.7084 1101.8923
 14.404  0.247  6.544  6.836-22.904 -7.009 22.320 38.361  6.660
 -22.210 40.368 42.041  5.243 -0.774  8.527  1.844 14.150   0.14
 1 618 234 0 0 1 1 1101.8923 1102.8854
 11.795 -1.700  6.633  4.945-45.415-34.675  8.785 10.286  6.633
 -45.415  8.785 10.286  0.000  0.000  0.000  0.000 11.795  -1.70
 1 618 234 2 1 3 5 1101.8923 1102.8854
 13.894  0.518  6.836  7.351 -7.009  5.816 38.361 42.124  6.824
  -6.615 42.041 64.271  4.469  0.162  1.844  4.635 13.988   0.61
 1 618 234 2 1 3 5 1101.8923 1102.8854
 13.780  0.902  6.299  7.194 -2.936  9.775  0.679  3.894  6.824
  -6.615 42.041 64.271  4.469  0.162  1.844  4.635 13.988   0.61
 1 618 234 2 1 3 5 1101.8923 1102.8854
 13.781  0.504  6.781  7.282 -2.414 10.298  3.001  1.032  6.824
  -6.615 42.041 64.271  4.469  0.162  1.844  4.635 13.988   0.61
 1 718 245 0 0 1 2 1102.8854 1103.7709
 15.926  0.669  4.945  5.538-34.675-21.440 10.286  4.187  4.945
 -34.675 10.286  6.098  0.000  0.346  0.000-66.857 15.878   0.56
 1 718 245 3 2 5 6 1102.8854 1103.7709
 14.055  0.034  7.351  7.381  5.816 17.393 42.124 29.047  7.427
   6.303 64.271 46.695  4.631 -0.331  4.635  6.565 14.242  -0.01
 1 718 245 3 2 5 6 1102.8854 1103.7709
 14.013  0.055  7.892  7.941  5.123 16.663 13.139  8.737  7.427
   6.303 64.271 46.695  4.631 -0.331  4.635  6.565 14.242  -0.01
 1 718 245 3 2 5 6 1102.8854 1103.7709
 13.946 -0.174  7.194  7.040  9.775 21.256  3.894  5.220  7.427
   6.303 64.271 46.695  4.631 -0.331  4.635  6.565 14.242  -0.01
 1 718 245 3 2 5 6 1102.8854 1103.7709
 13.994 -0.075  7.282  7.216 10.298 21.821  1.032  1.514  7.427
   6.303 64.271 46.695  4.631 -0.331  4.635  6.565 14.242  -0.01
 1 718 245 3 2 5 6 1102.8854 1103.7709
 13.649 -0.214  6.975  6.785 10.815 22.033  4.081  2.127  7.427
   6.303 64.271 46.695  4.631 -0.331  4.635  6.565 14.242  -0.01
 1 818 530 1 1 2 1 1103.7709 1104.7916
 14.550  0.804  5.220  6.040-21.577 -7.723  1.911  0.607  5.438
 -21.483  6.098  0.607  0.346 -0.346-66.857  0.000 14.458   0.59
 1 818 530 1 1 2 1 1103.7709 1104.7916
 14.416  0.492  5.538  6.040-21.440 -7.723  4.187  0.607  5.438
 -21.483  6.098  0.607  0.346 -0.346-66.857  0.000 14.458   0.59
 1 818 530 3 710 7 1103.7709 1104.7916
 15.253  0.600 12.245 12.858-29.005-14.434  8.919  5.758 13.136
